WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR2025-002338,Kings,,18S,20E,28,M18S20E28,28.0,Water Supply Domestic,1721606400000,36.338648,-119.806837,gis,,,36.338648,-119.806837,,,South Fork Kings GSA
WCR0000608,Kings,,18S,20E,35,M18S20E35,,Other Unknown,,36.32085,-119.77177,gis,,,36.32085,-119.77177,pdfs/WCR0000608.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603155425,South Fork Kings GSA
WCR0003000,Kings,,18S,20E,20,M18S20E20,40.0,Water Supply Domestic,,36.35033,-119.82577,gis,,,36.35033,-119.82577,pdfs/WCR0003000.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589315377,South Fork Kings GSA
WCR0003747,Kings,,18S,20E,17,M18S20E17,58.0,Water Supply Industrial,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0003747.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601338352,South Fork Kings GSA
WCR0003748,Kings,,18S,20E,17,M18S20E17,56.0,Other,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0003748.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602284042,South Fork Kings GSA
WCR0003750,Kings,,18S,20E,22,M18S20E22,44.0,Water Supply Irrigation - Agriculture,,36.34989,-119.78986,gis,,,36.34989,-119.78986,pdfs/WCR0003750.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591144891,South Fork Kings GSA
WCR0004678,Kings,,19S,19E,24,M19S19E24,515.0,Water Supply Domestic,,36.26258,-119.86019,gis,,,36.26258,-119.86019,pdfs/WCR0004678.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640813879,South Fork Kings GSA
WCR0004688,Kings,,18S,20E,32,M18S20E32,46.0,Water Supply Domestic,,36.3208,-119.82558,gis,,,36.3208,-119.82558,pdfs/WCR0004688.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591134300,South Fork Kings GSA
WCR0006297,Kings,,18S,20E,28,M18S20E28,,Water Supply Domestic,,36.34174038,-119.80889525,gis,,,36.34174038,-119.80889525,pdfs/WCR0006297.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461592313677,South Fork Kings GSA
WCR0006221,Kings,,18S,20E,29,M18S20E29,,,,36.33542,-119.82575,gis,,,36.33542,-119.82575,,,South Fork Kings GSA
WCR0016525,Kings,,18S,20E,16,M18S20E16,400.0,Other Unknown,,36.36507,-119.80782,gis,,,36.36507,-119.80782,pdfs/WCR0016525.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601319152,South Fork Kings GSA
WCR0017880,Kings,,18S,20E,01,M18S20E01,,Water Supply Irrigation - Agriculture,,36.39401,-119.75394,gis,,,36.39401,-119.75394,pdfs/WCR0017880.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589027395,South Fork Kings GSA
WCR0017883,Kings,,18S,20E,11,M18S20E11,407.0,Water Supply Irrigation - Agriculture,,36.37965,-119.77188,gis,,,36.37965,-119.77188,pdfs/WCR0017883.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461593936278,South Fork Kings GSA
WCR0017884,Kings,,18S,20E,13,M18S20E13,360.0,Water Supply Irrigation - Agriculture,,36.36449,-119.75401,gis,,,36.36449,-119.75401,pdfs/WCR0017884.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602436911,South Fork Kings GSA
WCR0018064,Kings,,19S,20E,12,M19S20E12,63.0,Water Supply Irrigation - Agriculture,,36.29116,-119.75381,gis,,,36.29116,-119.75381,pdfs/WCR0018064.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640833859,South Fork Kings GSA
WCR0017894,Kings,,18S,20E,25,M18S20E25,55.0,Water Supply Domestic,,36.33534,-119.7538,gis,,,36.33534,-119.7538,pdfs/WCR0017894.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599269625,South Fork Kings GSA
WCR0019370,Kings,,18S,20E,27,M18S20E27,154.0,Water Supply Domestic,,36.33543,-119.7898,gis,,,36.33543,-119.7898,pdfs/WCR0019370.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600608421,South Fork Kings GSA
